Season,Lg,Tm,W,L,Finish,Age,Ht,Wt,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,CHI,31,41,3,25.6,6-7,218,72,17380,3035,6380,.476,904,2446,.370,2131,3934,.542,995,1258,.791,693,2544,3237,1927,482,304,1089,1362,7969
2019-20,NBA,CHI,22,43,3,24.4,6-7,219,65,15675,2573,5762,.447,793,2282,.348,1780,3480,.511,1006,1332,.755,680,2041,2721,1510,652,265,1005,1417,6945
2018-19,NBA,CHI,22,60,4,24.0,6-6,218,82,19905,3266,7205,.453,745,2123,.351,2521,5082,.496,1328,1695,.783,718,2799,3517,1796,603,351,1159,1663,8605
2017-18,NBA,CHI,27,55,5,24.4,6-7,216,82,19855,3170,7285,.435,906,2549,.355,2264,4736,.478,1194,1574,.759,790,2873,3663,1923,626,289,1147,1571,8440
2016-17,NBA,CHI,41,41,4,26.9,6-7,221,82,19780,3169,7141,.444,623,1831,.340,2546,5310,.479,1474,1848,.798,999,2797,3796,1851,643,393,1112,1455,8435
2015-16,NBA,CHI,42,40,4,27.6,6-7,215,82,19905,3165,7170,.441,651,1753,.371,2514,5417,.464,1354,1720,.787,907,2889,3796,1870,495,470,1141,1545,8335
2014-15,NBA,CHI,50,32,2,28.8,6-7,210,82,19880,3001,6797,.442,645,1825,.353,2356,4972,.474,1618,2067,.783,959,2792,3751,1781,514,476,1145,1495,8265
2013-14,NBA,CHI,48,34,2,28.6,6-7,217,82,19930,2843,6577,.432,508,1459,.348,2335,5118,.456,1486,1908,.779,937,2683,3620,1860,594,424,1223,1565,7680
2012-13,NBA,CHI,45,37,2,28.0,6-6,215,82,19830,2926,6698,.437,446,1265,.353,2480,5433,.456,1343,1738,.773,1026,2514,3540,1886,588,417,1171,1617,7641
2011-12,NBA,CHI,50,16,1,27.1,6-7,218,66,15940,2467,5462,.452,419,1117,.375,2048,4345,.471,1006,1394,.722,915,2165,3080,1527,456,388,923,1139,6359
2010-11,NBA,CHI,62,20,1,26.4,6-7,220,82,19830,3042,6587,.462,511,1415,.361,2531,5172,.489,1492,2008,.743,967,2654,3621,1827,592,468,1161,1639,8087
2009-10,NBA,CHI,41,41,3,26.2,6-6,213,82,19905,3081,6825,.451,352,1066,.330,2729,5759,.474,1479,1962,.754,937,2715,3652,1704,531,478,1175,1648,7993
2008-09,NBA,CHI,41,41,2,24.9,6-6,212,82,19930,3126,6846,.457,493,1293,.381,2633,5553,.474,1633,2052,.796,970,2481,3451,1732,615,453,1192,1709,8378
2007-08,NBA,CHI,33,49,4,25.7,6-6,214,82,19805,2987,6861,.435,474,1305,.363,2513,5556,.452,1533,2029,.756,1050,2478,3528,1811,635,429,1197,1784,7981
2006-07,NBA,CHI,49,33,3,26.0,6-6,214,82,19780,3046,6663,.457,480,1237,.388,2566,5426,.473,1528,2083,.734,984,2597,3581,1832,639,445,1310,1908,8100
2005-06,NBA,CHI,41,41,4,24.1,6-6,217,82,19905,3004,6737,.446,560,1477,.379,2444,5260,.465,1452,1967,.738,906,2602,3508,1804,508,345,1224,2038,8020
2004-05,NBA,CHI,47,35,2,25.0,6-6,218,82,19830,2849,6592,.432,511,1433,.357,2338,5159,.453,1536,2048,.750,1001,2591,3592,1743,576,369,1371,2028,7745
2003-04,NBA,CHI,23,59,8,26.8,6-7,216,82,19830,2798,6753,.414,429,1256,.342,2369,5497,.431,1330,1834,.725,1048,2519,3567,1793,659,396,1321,1911,7355
2002-03,NBA,CHI,30,52,6,25.2,6-7,220,82,19930,2991,6714,.445,349,997,.350,2642,5717,.462,1455,2014,.722,985,2541,3526,1782,605,461,1388,2028,7786
2001-02,NBA,CHI,21,61,8,25.5,6-7,221,82,19805,2811,6491,.433,300,868,.346,2511,5623,.447,1413,1958,.722,924,2359,3283,1817,633,361,1252,1834,7335
2000-01,NBA,CHI,15,67,8,23.2,6-6,229,82,19855,2721,6411,.424,329,950,.346,2392,5461,.438,1410,1909,.739,926,2260,3186,1810,675,379,1292,1902,7181
1999-00,NBA,CHI,17,65,8,26.0,6-6,225,82,19805,2565,6180,.415,340,1032,.329,2225,5148,.432,1482,2089,.709,1032,2323,3355,1645,646,383,1557,1908,6952
1998-99,NBA,CHI,13,37,8,28.6,6-6,212,50,12075,1539,3837,.401,177,612,.289,1362,3225,.422,840,1185,.709,573,1394,1967,1017,436,169,774,1112,4095
1997-98,NBA,CHI,62,20,1,31.7,6-7,209,82,19855,3064,6801,.451,311,962,.323,2753,5839,.471,1492,2009,.743,1243,2438,3681,1952,696,353,1178,1691,7931
1996-97,NBA,CHI,69,13,1,30.7,6-7,210,82,19730,3277,6923,.473,523,1403,.373,2754,5520,.499,1381,1848,.747,1235,2461,3696,2142,716,332,1109,1617,8458
1995-96,NBA,CHI,72,10,1,29.9,6-7,209,82,19730,3293,6892,.478,544,1349,.403,2749,5543,.496,1495,2004,.746,1247,2411,3658,2033,745,345,1175,1807,8625
1994-95,NBA,CHI,47,35,3,28.1,6-7,206,82,19830,3191,6710,.476,443,1187,.373,2748,5523,.498,1500,2065,.726,1106,2294,3400,1970,797,352,1297,1962,8325
1993-94,NBA,CHI,55,27,2,27.7,6-7,205,82,19780,3245,6815,.476,233,659,.354,3012,6156,.489,1310,1859,.705,1143,2391,3534,2102,740,354,1306,1750,8033
1992-93,NBA,CHI,57,25,1,28.1,6-7,208,82,19830,3475,7205,.482,244,669,.365,3231,6536,.494,1431,1952,.733,1290,2283,3573,2133,783,410,1103,1804,8625
1991-92,NBA,CHI,67,15,1,27.6,6-7,207,82,19830,3643,7168,.508,138,454,.304,3505,6714,.522,1587,2132,.744,1173,2439,3612,2279,672,480,1088,1693,9011
1990-91,NBA,CHI,61,21,1,26.9,6-7,209,82,19755,3632,7125,.510,155,424,.366,3477,6701,.519,1605,2111,.760,1148,2342,3490,2212,822,438,1184,1751,9024
1989-90,NBA,CHI,55,27,2,26.1,6-7,210,82,19830,3531,7090,.498,250,669,.374,3281,6421,.511,1665,2140,.778,1075,2279,3354,2172,814,388,1247,1906,8977
1988-89,NBA,CHI,47,35,5,26.4,6-7,211,82,19780,3448,6968,.495,174,530,.328,3274,6438,.509,1656,2106,.786,1018,2453,3471,2213,722,376,1327,1855,8726
1987-88,NBA,CHI,50,32,2,25.5,6-7,210,82,19855,3434,7015,.490,56,243,.230,3378,6772,.499,1685,2221,.759,1170,2459,3629,2149,712,475,1263,1849,8609
1986-87,NBA,CHI,40,42,5,25.4,6-7,210,82,19830,3382,7155,.473,78,299,.261,3304,6856,.482,1754,2254,.778,1248,2400,3648,2143,677,438,1257,1922,8596
1985-86,NBA,CHI,30,52,4,26.6,6-7,206,82,19855,3476,7227,.481,88,317,.278,3388,6910,.490,1922,2499,.769,1280,2278,3558,2006,609,400,1436,2166,8962
1984-85,NBA,CHI,38,44,3,25.2,6-7,207,82,19805,3453,6909,.500,29,161,.180,3424,6748,.507,1981,2526,.784,1074,2366,3440,1992,622,468,1463,2071,8916
1983-84,NBA,CHI,27,55,5,24.4,6-7,207,82,19980,3305,6972,.474,20,117,.171,3285,6855,.479,1871,2508,.746,1141,2300,3441,2095,687,454,1578,2196,8501