Year,Champion
2020-21,Milwaukee Bucks
2019-20,Los Angeles Lakers
2018-19,Toronto Raptors
2017-18,Golden State Warriors
2016-17,Golden State Warriors
2015-16,Cleveland Cavaliers
2014-15,Golden State Warriors
2013-14,San Antonio Spurs
2012-13,Miami Heat
2011-12,Miami Heat
2010-11,Dallas Mavericks
2009-10,Los Angeles Lakers
2008-09,Los Angeles Lakers
2007-08,Boston Celtics
2006-07,San Antonio Spurs
2005-06,Miami Heat
2004-05,San Antonio Spurs
2003-04,Detroit Pistons
2002-03,San Antonio Spurs
2001-02,Los Angeles Lakers
2000-01,Los Angeles Lakers
1999-00,Los Angeles Lakers
1998-99,San Antonio Spurs
1997-98,Chicago Bulls
1996-97,Chicago Bulls
1995-96,Chicago Bulls
1994-95,Houston Rockets
1993-94,Houston Rockets
1992-93,Chicago Bulls
1991-92,Chicago Bulls
1990-91,Chicago Bulls
1989-90,Detroit Pistons
1988-89,Detroit Pistons
1987-88,Los Angeles Lakers
1986-87,Los Angeles Lakers
1985-86,Boston Celtics
1984-85,Los Angeles Lakers
1983-84,Boston Celtics
1982-83,Philadelphia 76ers
1981-82,Los Angeles Lakers
1980-81,Boston Celtics