Season,MP,OWS,DWS,WS,WS48
1996-97,1103,0.5,1.3,1.8,.079
1997-98,2056,4.5,1.8,6.3,.147
1998-99,1896,3.7,1.5,5.2,.130
1999-00,2524,6.1,4.5,10.6,.202
2000-01,2783,9.2,2.2,11.3,.196
2001-02,3063,8.9,3.8,12.7,.199
2002-03,3401,11.0,4.0,14.9,.210
2003-04,2447,7.8,3.0,10.7,.210
2004-05,2689,7.1,1.0,8.1,.145
2005-06,3277,11.6,3.7,15.3,.224
2006-07,3140,10.8,2.2,13.0,.199
2007-08,3192,9.5,4.3,13.8,.208
2008-09,2960,8.6,4.0,12.7,.206
2009-10,2835,5.4,4.0,9.4,.160
2010-11,2779,6.8,3.5,10.3,.178
2011-12,2232,4.2,2.0,6.2,.132
2012-13,3013,8.4,2.6,10.9,.174
2013-14,177,-0.5,0.1,-0.4,-0.097
2014-15,1207,-0.4,0.6,0.2,.006
2015-16,1863,-0.9,0.5,-0.4,-0.010